date,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
1-Nov-19,45-54,Female,100,100,100,0,100,100,100,100,50,0,100,100,100,100,100,0,,,0,100,100,75,100,100,,60,100,1,1,0,0,1,66,57,69,55,74,,,,
1-Nov-19,45-54,Female,100,100,0,0,15,60,,50,70,0,100,100,85,100,80,25,90,85,25,100,100,90,80,80,85,10,70,1,0,0,0,,66,57,69,55,74,,,,
1-Nov-19,45-54,Male,100,100,0,0,50,24,50,43,100,0,100,100,100,76,51,40,50,50,50,100,100,50,51,50,83,22,77,1,0,0,1,1,66,57,69,55,74,,,,
1-Nov-19,35-44,Male,100,100,0,0,50,66,70,100,100,5,100,100,100,100,70,60,85,85,50,95,95,50,72,80,95,20,80,1,0,0,1,1,66,57,69,55,74,,,,
1-Nov-19,45-54,Male,100,100,0,0,65,33,34,74,100,0,100,74,100,100,22,43,63,100,26,100,100,100,66,100,100,31,100,0,,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Female,100,100,0,0,50,70,70,100,72,0,100,89,100,100,15,50,50,46,22,100,,50,75,100,100,3,75,0,,,,,66,57,69,55,74,,,,
1-Nov-19,45-54,Female,100,100,50,0,20,40,70,40,10,70,70,50,70,60,80,30,40,50,40,50,60,70,60,50,100,20,95,0,,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Female,100,100,50,0,95,52,50,64,79,0,88,93,82,96,,20,49,50,24,95,,54,88,92,61,36,96,0,,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Female,100,100,50,0,1,50,50,78,56,26,74,,92,85,93,43,90,87,24,69,66,75,95,91,40,25,77,1,,0,1,1,66,57,69,55,74,,,,
1-Nov-19,45-54,Female,100,100,50,0,50,50,50,100,50,0,100,80,50,0,40,50,40,20,60,100,80,80,80,70,30,60,80,0,,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Female,100,100,100,0,50,100,100,100,100,1,100,,100,52,99,52,52,50,52,51,50,51,52,99,100,52,97,0,,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Male,100,100,0,0,0,41,56,77,40,0,86,89,85,76,87,39,54,61,22,87,87,60,63,83,74,11,74,1,0,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Female,100,100,0,0,54,51,51,52,81,54,55,49,75,55,70,0,,,26,71,79,62,55,71,20,,100,0,,,,,66,57,69,55,74,,,,
1-Nov-19,35-44,Female,100,100,52,0,50,100,100,100,75,61,73,55,52,100,0,0,,,46,50,50,70,50,100,100,,50,1,1,0,0,,66,57,69,55,74,,,,
1-Nov-19,45-54,Female,100,100,40,0,100,100,100,,100,0,100,100,100,100,50,50,100,100,0,100,100,100,100,100,100,25,100,1,1,0,0,1,66,57,69,55,74,,,,
1-Nov-19,45-54,Female,100,100,0,0,1,50,53,100,100,0,50,81,81,73,99,40,89,50,9,72,99,84,85,76,100,40,100,0,,,,,66,57,69,55,74,,,,
